acc,avespotlen,num_chunks,gbases,chunk_size,chunk
SRR26718032,302,4,47.926,49668875,4
SRR11308092,302,3,41.275,49668875,1
SRR12681089,300,5,72.888,50000000,1
SRR5195115,300,3,34.732,50000000,3
SRR15306712,300,4,53.224000000000004,50000000,1
SRR18653132,300,5,61.533,50000000,3
SRR18067543,225,4,58.972,66666667,1
SRR22163828,284,7,92.775,52816902,5
DRR193874,81,3,32.456,185185186,1
SRR30912708,300,3,42.733000000000004,50000000,1
SRR5749613,300,10,138.62,50000000,6
SRR11721628,302,5,69.34100000000001,49668875,1
SRR5678814,273,5,62.370000000000005,54945055,3
SRR18572990,300,3,36.653,50000000,1
SRR20006721,302,5,71.663,49668875,4
SRR12690099,302,9,129.82,49668875,6
ERR3274950,201,9,128.275,74626866,5
SRR14710902,302,3,41.144,49668875,3
SRR21285600,300,3,44.852000000000004,50000000,3
ERR10921444,301,4,45.614000000000004,49833888,1
SRR18653133,300,5,65.678,50000000,1
SRR30025282,297,3,37.497,50505051,2
SRR26717996,302,3,44.795,49668875,1
ERR7764190,300,3,31.107,50000000,2
SRR29483057,300,6,79.391,50000000,5
SRR8554882,302,5,66.771,49668875,3
SRR22585850,299,4,52.462,50167225,1
ERR14172381,300,5,62.78,50000000,4
ERR2762182,197,4,45.846000000000004,76142132,2
SRR19044048,300,13,181.662,50000000,2
SRR20217182,302,5,66.045,49668875,4
ERR868504,196,3,32.847,76530613,2
SRR23272275,300,7,100.75,50000000,1
ERR10921505,300,3,43.966,50000000,1
ERR10048373,300,7,97.299,50000000,5
SRR28925569,302,5,68.116,49668875,3
SRR29340322,300,8,115.252,50000000,8
SRR10143129,302,7,91.074,49668875,6
SRR30757704,300,5,70.865,50000000,4
SRR8451835,302,8,105.908,49668875,3
SRR30757736,300,8,110.07900000000001,50000000,5
SRR21860271,302,3,35.736000000000004,49668875,2
SRR403060,300,3,37.506,50000000,2
ERR868402,187,3,35.703,80213904,2
SRR26718002,302,3,39.555,49668875,1
SRR15558228,300,3,30.001,50000000,3
ERR12319619,297,11,156.214,50505051,5
SRR7207567,300,9,129.337,50000000,1
SRR30757716,300,7,103.149,50000000,7
SRR18572990,300,3,36.653,50000000,3
ERR14172382,300,5,68.05,50000000,3
ERR12059485,297,3,41.604,50505051,1
SRR30025622,298,5,64.797,50335571,1
ERR10921621,298,3,44.819,50335571,2
SRR17827847,299,8,114.799,50167225,3
ERR12075085,302,3,30.042,49668875,3
ERR7599939,300,3,30.567,50000000,3
SRR9651506,302,6,76.107,49668875,1
SRR28416755,302,6,78.455,49668875,5
SRR31320609,300,3,40.898,50000000,3
ERR594329,197,3,35.243,76142132,1
SRR7093796,302,4,50.56,49668875,1
SRR26115522,302,4,52.702,49668875,4
SRR28520282,302,7,91.746,49668875,2
DRR439646,302,10,141.01,49668875,10
SRR31656009,302,4,53.017,49668875,2
SRR29340338,300,5,72.723,50000000,5
SRR25448399,299,3,36.701,50167225,1
SRR17827931,299,7,103.98,50167225,2
SRR15377977,302,4,58.605000000000004,49668875,1
SRR23272295,300,7,100.84,50000000,3
SRR17331998,300,3,44.75,50000000,1
ERR2503240,250,3,40.627,60000000,1
SRR22671874,237,6,83.587,63291140,2
SRR5460454,302,4,56.291000000000004,49668875,1
SRR21875705,264,6,76.29,56818182,6
SRR32120247,300,3,31.834,50000000,1
SRR23272275,300,7,100.75,50000000,7
SRR10034625,252,4,47.954,59523810,1
SRR23617234,291,5,60.08,51546392,4
SRR13378649,502,3,34.85,29880479,3
SRR11430612,300,5,67.039,50000000,5
ERR13319468,426,8,113.178,35211268,8
SRR26046849,300,3,42.857,50000000,3
SRR30413548,299,7,93.4,50167225,6
ERR10101806,301,6,83.485,49833888,1
SRR8693951,302,3,36.783,49668875,2
SRR5507178,302,4,59.19,49668875,4
SRR31444223,302,6,75.992,49668875,4
DRR438460,300,3,35.366,50000000,3
SRR15182417,300,7,94.272,50000000,1
SRR17827938,299,8,106.599,50167225,4
SRR12283286,300,8,108.71300000000001,50000000,2
ERR10101732,298,5,74.884,50335571,1
SRR30815463,300,3,43.734,50000000,3
SRR22671740,252,5,66.995,59523810,2
SRR28147570,300,3,39.499,50000000,3
SRR31482506,299,4,59.523,50167225,1
SRR14292252,300,3,39.476,50000000,1
ERR10101735,298,5,71.271,50335571,1
SRR14878376,302,12,168.687,49668875,11
ERR12084901,300,4,50.08,50000000,4
SRR23617205,290,4,46.151,51724138,2
SRR26457504,302,5,68.941,49668875,1
ERR10503243,295,3,39.853,50847458,3
SRR28520286,302,7,104.548,49668875,6
SRR14308233,302,4,50.983000000000004,49668875,4
ERR868483,195,3,41.39,76923077,1
ERR1726628,189,3,33.176,79365080,2
SRR7008391,302,3,35.873,49668875,2
SRR28417921,302,5,74.784,49668875,5
SRR11835809,302,5,67.024,49668875,3
SRR17827844,299,8,119.497,50167225,1
SRR29093018,300,4,47.753,50000000,1
SRR30993054,302,4,55.989000000000004,49668875,4
ERR3974433,302,5,65.377,49668875,1
SRR26458187,302,6,77.481,49668875,4
SRR28093312,301,6,81.464,49833888,6
SRR6031142,300,3,38.207,50000000,3
ERR9963787,302,6,77.71000000000001,49668875,1
SRR23274482,300,7,104.55,50000000,6
SRR7533096,100,3,31.867,150000000,1
SRR6220208,300,4,48.617000000000004,50000000,1
SRR17201898,300,3,41.87,50000000,2
ERR10048387,300,7,104.931,50000000,3
SRR16915476,298,4,51.424,50335571,1
ERR868369,194,3,35.371,77319588,1
SRR28678186,300,4,48.522,50000000,2
SRR22388064,302,3,32.826,49668875,2
SRR23272295,300,7,100.84,50000000,6
SRR5487619,300,3,34.458,50000000,1
SRR25400508,300,5,60.442,50000000,1
SRR15171482,221,3,36.622,67873304,3
SRR17827892,299,9,130.239,50167225,8
SRR27561777,300,3,31.857,50000000,1
SRR15532677,302,11,162.654,49668875,4
SRR26457462,302,6,75.09400000000001,49668875,6
ERR9287629,300,5,71.654,50000000,1
SRR29782983,300,9,130.59,50000000,4
SRR14879651,300,6,81.169,50000000,2
ERR3275101,300,3,40.003,50000000,2
SRR22348038,300,3,41.555,50000000,1
SRR21663152,302,3,33.212,49668875,2
ERR8158273,300,11,151.153,50000000,6
SRR5213598,302,5,65.275,49668875,4
SRR23274245,302,8,105.71000000000001,49668875,3
SRR3954452,300,4,52.282000000000004,50000000,4
SRR23274486,300,7,102.973,50000000,2
ERR10101715,301,5,66.664,49833888,5
ERR12319619,297,11,156.214,50505051,2
SRR490156,300,4,53.784,50000000,4
SRR28813924,602,10,137.189,24916944,5
ERR10921781,301,4,45.027,49833888,1
ERR538175,193,4,49.31,77720208,3
SRR30965919,300,4,53.655,50000000,2
SRR24630291,301,3,35.472,49833888,2
SRR14308234,302,4,52.029,49668875,4
SRR8733530,300,3,33.941,50000000,2
SRR19749273,300,6,76.405,50000000,4
SRR27217540,300,8,113.9,50000000,7
SRR25400538,300,4,52.738,50000000,2
SRR25490532,300,3,39.261,50000000,1
SRR22318477,300,3,30.132,50000000,1
ERR10101439,297,6,86.354,50505051,1
ERR1078383,252,5,63.492000000000004,59523810,3
SRR490155,300,4,53.014,50000000,1
SRR8439261,302,8,107.173,49668875,1
SRR24908255,298,3,40.019,50335571,1
SRR30757736,300,8,110.07900000000001,50000000,1
SRR30025292,298,6,76.739,50335571,2
ERR10921311,299,4,49.746,50167225,1
SRR20652313,500,6,84.185,30000000,3
ERR7757511,300,3,34.578,50000000,1
SRR20217190,302,5,63.948,49668875,5
