acc,avespotlen,num_chunks,gbases,chunk_size,chunk
SRR23946047,302,30,88.85300000000001,9933775,4
ERR7599963,300,30,87.019,10000000,27
SRR26457461,302,25,74.368,9933775,17
SRR30770036,302,11,31.444,9933775,9
SRR11792749,265,15,42.771,11320755,2
ERR10048385,300,42,125.372,10000000,2
SRR3405394,302,31,92.382,9933775,19
SRR30563938,302,21,60.994,9933775,3
SRR15730553,302,16,45.01,9933775,13
ERR10921463,301,17,50.622,9966778,7
SRR5507178,302,20,59.19,9933775,7
ERR14172374,300,20,59.969,10000000,9
ERR9287632,150,29,85.09700000000001,20000000,25
SRR31323330,300,12,34.94,10000000,5
SRR27128259,300,16,47.736000000000004,10000000,13
SRR29270207,302,12,33.796,9933775,2
SRR28813923,602,31,90.57300000000001,4983389,18
ERR3478707,302,13,38.868,9933775,3
SRR29884474,302,15,43.277,9933775,2
SRR12667203,302,14,41.749,9933775,13
ERR3761218,300,25,73.328,10000000,22
SRR29483057,300,27,79.391,10000000,8
SRR16555202,300,19,56.757,10000000,6
SRR490130,300,39,115.64,10000000,28
SRR23272293,300,35,103.676,10000000,27
SRR25656910,311,16,45.565,9646303,4
SRR31358914,300,14,39.521,10000000,13
SRR19044048,300,61,181.662,10000000,61
ERR11205110,302,18,53.818,9933775,4
SRR15910082,295,40,119.455,10169492,2
SRR29337653,501,14,39.143,5988024,7
SRR21418661,290,20,59.918,10344828,11
SRR23274228,300,44,130.335,10000000,25
SRR3971189,300,15,43.874,10000000,15
ERR4670283,302,48,142.028,9933775,11
SRR8869246,302,19,54.945,9933775,10
SRR27216433,300,23,67.039,10000000,7
SRR12613940,302,19,54.033,9933775,6
SRR18067417,244,32,93.35600000000001,12295082,17
SRR9841444,249,22,65.026,12048193,17
ERR599057,198,11,32.202,15151516,8
SRR31012010,302,26,75.433,9933775,11
SRR5262251,502,39,114.006,5976096,4
SRR20652312,500,26,77.89,6000000,3
ERR13063744,202,16,46.934,14851486,10
SRR23274493,302,37,108.233,9933775,25
ERR12356819,288,19,56.03,10416667,7
SRR15539672,302,34,99.331,9933775,2
SRR6181342,302,20,59.688,9933775,11
SRR26879390,252,52,155.548,11904762,39
SRR5578721,302,24,69.504,9933775,24
ERR7599963,300,30,87.019,10000000,7
SRR11566662,302,26,75.629,9933775,12
ERR10493316,110,13,38.953,27272728,2
SRR28520274,302,31,90.605,9933775,25
SRR26424700,302,24,70.633,9933775,8
ERR4592243,492,48,141.986,6097561,27
SRR16100381,300,14,40.777,10000000,9
ERR3589580,200,12,34.204,15000000,1
ERR3150492,502,11,30.174,5976096,5
SRR2637699,202,34,99.601,14851486,18
SRR21860268,302,14,39.15,9933775,8
SRR28310198,413,13,37.769,7263923,9
SRR490156,300,18,53.784,10000000,4
SRR31655995,302,24,71.295,9933775,20
SRR13374491,300,13,36.315,10000000,9
ERR10048402,300,35,104.69,10000000,10
SRR6841377,302,25,74.47,9933775,3
SRR3314796,251,39,116.039,11952192,29
SRR27216438,300,29,85.89,10000000,12
SRR30757726,300,12,33.982,10000000,10
SRR13326506,300,27,80.559,10000000,4
SRR21662988,302,19,56.908,9933775,19
ERR10048407,300,36,105.147,10000000,2
SRR7097861,302,16,45.698,9933775,10
SRR14699986,300,42,123.629,10000000,12
SRR14092360,300,20,59.216,10000000,20
SRR23272334,300,35,102.391,10000000,29
SRR28520272,302,34,101.94800000000001,9933775,31
ERR5037035,202,11,30.27,14851486,8
SRR18461271,276,17,49.761,10869566,3
SRR8451819,302,24,71.119,9933775,7
SRR12887165,300,33,97.144,10000000,17
SRR17827939,299,36,106.299,10033445,12
SRR11792754,262,14,40.098,11450382,6
SRR7093796,302,17,50.56,9933775,1
ERR6862848,294,32,95.524,10204082,4
SRR30757743,300,25,74.315,10000000,4
SRR8554504,302,16,45.316,9933775,2
SRR30757695,300,19,56.597,10000000,8
SRR12204850,302,17,50.730000000000004,9933775,16
SRR25400505,300,22,64.32900000000001,10000000,12
ERR4670283,302,48,142.028,9933775,1
SRR28813924,602,46,137.189,4983389,39
SRR22098106,302,48,141.177,9933775,14
SRR18067341,238,25,74.044,12605043,25
SRR26824600,302,14,39.756,9933775,2
SRR31309780,300,37,110.901,10000000,1
SRR11430617,300,21,61.488,10000000,18
SRR6266568,302,12,34.199,9933775,11
SRR31781688,302,22,64.309,9933775,14
SRR14308234,302,18,52.029,9933775,14
SRR26421363,302,36,106.247,9933775,6
SRR12952822,302,25,74.035,9933775,3
ERR12084915,300,20,59.426,10000000,9
SRR13038211,300,21,60.122,10000000,3
SRR7207567,300,44,129.337,10000000,38
ERR1726718,195,14,39.82,15384616,3
SRR22098123,302,41,121.708,9933775,37
ERR4674699,301,12,34.222,9966778,7
SRR24908230,297,14,41.295,10101011,12
SRR23617177,291,17,48.577,10309279,10
SRR13254584,302,22,63.225,9933775,8
SRR26992427,300,17,48.948,10000000,1
SRR23274238,302,24,70.907,9933775,13
SRR490134,300,20,59.254,10000000,14
SRR3989265,300,20,57.376,10000000,14
SRR24908285,298,17,50.605000000000004,10067115,16
SRR22103693,296,45,132.169,10135136,18
SRR28401764,294,14,40.714,10204082,12
DRR483933,302,57,169.921,9933775,17
SRR27789065,300,12,35.379,10000000,12
SRR7186542,300,19,56.557,10000000,14
SRR6056503,302,20,57.983000000000004,9933775,13
SRR23272321,302,36,107.212,9933775,30
SRR29483030,300,29,86.011,10000000,27
SRR29284155,176,24,69.062,17045455,9
SRR25232106,301,29,85.402,9966778,25
SRR26718055,302,19,55.61,9933775,19
SRR31012010,302,26,75.433,9933775,7
ERR1726684,197,17,49.619,15228427,4
ERR9585962,300,21,62.816,10000000,15
ERR12084968,300,17,49.012,10000000,15
SRR31781692,302,21,60.160000000000004,9933775,21
SRR8863073,302,14,41.798,9933775,7
SRR28520288,302,29,84.833,9933775,9
SRR12358632,250,19,56.795,12000000,14
SRR2657229,202,49,146.647,14851486,41
SRR26114575,302,20,58.323,9933775,1
ERR9606730,301,11,31.678,9966778,5
SRR26080962,300,15,44.608000000000004,10000000,11
SRR22388088,302,12,35.002,9933775,10
SRR12113390,301,44,131.57,9966778,35
SRR26718012,302,17,50.19,9933775,2
SRR11309091,300,19,54.328,10000000,5
SRR25742230,300,33,98.24000000000001,10000000,24
DRR374617,150,23,68.449,20000000,18
SRR1572169,101,15,44.868,29702971,5
SRR13318503,302,28,81.392,9933775,5
SRR28416806,302,23,66.114,9933775,3
SRR1706031,200,28,82.272,15000000,3
SRR12398548,252,21,60.461,11904762,12
SRR23617142,289,19,54.524,10380623,16
SRR17827840,299,39,116.102,10033445,7
SRR12953108,302,13,37.988,9933775,8
SRR26718037,302,15,42.139,9933775,9
SRR23287139,300,44,131.465,10000000,34
SRR29307520,456,18,52.159,6578948,2
SRR18150557,300,17,48.453,10000000,14
